,County,Total Population,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,Total Population: Hispanic or Latino,% Total Population: Hispanic or Latino,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Graduate or More (Includes Equivalency),% Population 25 Years and Over: Some College or More,% Population 25 Years and Over: Bachelor's Degree or More,% Population 25 Years and Over: Master's Degree or More,% Population 25 Years and Over: Professional School Degree or More,% Population 25 Years and Over: Doctorate Degree,Civilian Population 16 to 19 Years:,Median Household Income (In 2017 Inflation Adjusted Dollars),% Population Under 18 Years of Age for Whom Poverty Status Is Determined: Living in Poverty
43,Santa Clara,1911226,869630,48314,9273,671511,7438,210878,45.5,2.53,0.49,35.14,0.39,11.03,498253,26.07,12.45,87.55,72.77,50.02,23.18,6.34,3.63,91461,106761,9.73
44,Santa Cruz,273263,211116,2424,1507,12547,261,32786,77.26,0.89,0.55,4.59,0.1,12,91096,33.34,13.59,86.41,70.88,39.75,16.12,5.64,2.74,19750,73663,16.95
45,Shasta,178919,155538,2007,4404,5310,153,3711,86.93,1.12,2.46,2.97,0.09,2.07,17218,9.62,9.32,90.68,64.95,21.36,7.37,2.49,0.58,8973,47258,25.4
46,Sierra,2885,2797,4,28,0,0,1,96.95,0.14,0.97,0,0,0.03,290,10.05,7.09,92.91,67.49,21.4,6.53,1.6,0.73,108,44190,10.56
47,Siskiyou,43530,37064,675,1511,687,161,690,85.15,1.55,3.47,1.58,0.37,1.59,5218,11.99,10.69,89.31,64.22,22.69,7.64,2.23,0.58,1971,40884,26.62
48,Solano,434981,229351,61752,2106,66432,3818,39516,52.73,14.2,0.48,15.27,0.88,9.08,112098,25.77,12.41,87.59,64.3,25.57,7.71,2.39,0.83,21702,72950,16.59
49,Sonoma,500943,377401,7848,5750,19605,1677,62101,75.34,1.57,1.15,3.91,0.33,12.4,132018,26.35,12.32,87.68,68.55,33.85,12.17,4.24,1.43,23987,71769,13.05
50,Stanislaus,535684,400661,15121,3789,29488,3670,59966,74.79,2.82,0.71,5.5,0.69,11.19,240816,44.95,22.25,77.75,49.54,16.72,5.37,1.89,0.52,30746,54260,23.2
51,Sutter,95583,67211,1970,904,14565,539,4185,70.32,2.06,0.95,15.24,0.56,4.38,28910,30.25,21.35,78.65,53.74,17.51,5.54,1.74,0.42,5147,54347,23.33
52,Tehama,63247,54371,379,1505,907,27,3505,85.97,0.6,2.38,1.43,0.04,5.54,15316,24.22,15.96,84.04,51.64,14.37,4.62,1.49,0.28,2918,42512,30.91
53,Trinity,13037,11284,104,559,161,118,416,86.55,0.8,4.29,1.23,0.91,3.19,937,7.19,10.23,89.77,57.89,19.47,4.06,1.03,0.51,734,36563,24.5
54,Tulare,458809,361911,7177,5787,16081,629,52819,78.88,1.56,1.26,3.5,0.14,11.51,291867,63.61,31.36,68.64,42.81,13.84,4.55,1.36,0.42,29320,44871,36.19
55,Tuolumne,53899,47181,975,931,609,155,1636,87.54,1.81,1.73,1.13,0.29,3.04,6385,11.85,9.28,90.72,61.53,20.57,7.47,2.47,0.72,2342,54325,13.8
56,Ventura,847834,677010,14805,6929,60986,1658,49513,79.85,1.75,0.82,7.19,0.2,5.84,358244,42.25,16.01,83.99,65.07,32.59,12.2,4,1.64,46337,81972,14.39
57,Yolo,212605,142841,5301,1333,29138,911,19837,67.19,2.49,0.63,13.71,0.43,9.33,66787,31.41,13.88,86.12,67.26,40.57,19.84,9.24,5.22,17436,61621,16.32
58,Yuba,74644,54601,2484,1033,4823,300,5269,73.15,3.33,1.38,6.46,0.4,7.06,20479,27.44,17.85,82.15,57.58,16.38,4.41,1.05,0.18,3656,51776,24.97
