,,DISTRIBUTION OF FEDERAL PELL GRANT RECIPIENTS ,,,,,
,,BY TYPE AND CONTROL OF INSTITUTION,,,,,
,,AWARD YEAR 2016-2017,,,,,
,,,,,,,
,OPE_ID,INSTITUTION NAME,INSTITUTION CITY,INSTITUTION STATE,INSTITUTION TYPE AND CONTROL, TOTAL AWARDS , TOTAL RECIPIENTS 
,110100,UNIV ARKANSAS LITTLE ROCK,LITTLE ROCK,AR,Public 4 Year,"$14,899,129 ","3,852"
,110200,OUACHITA BAPTIST UNIVERSITY,ARKADELPHIA,AR,Private 4 Year,"$1,874,092 ",436
,110300,PHILANDER SMITH COLLEGE,LITTLE ROCK,AR,Private 4 Year,"$3,405,634 ",781
,110400,PHILLIPS COUNTY COMMUNITY COLLEGE,HELENA,AR,Public 2 Year,"$2,619,596 ",706
,110500,SHORTER COLLEGE,NORTH LITTLE ROCK,AR,Private 2 Year,"$2,509,340 ",674
,110600,WILLIAMS BAPTIST COLLEGE,WALNUT RIDGE,AR,Private 4 Year,"$953,596 ",217
,110700,SOUTHERN ARKANSAS UNIVERSITY,MAGNOLIA,AR,Public 4 Year,"$7,207,105 ","1,612"
,110800,UNIV ARKANSAS FAYETTEVILLE,FAYETTEVILLE,AR,Public 4 Year,"$19,473,396 ","4,792"
,110900,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIEN,LITTLE ROCK,AR,Public 4 Year,"$1,017,464 ",258
,111000,UNIVERSITY OF ARKANSAS-FORT SMITH,FORT SMITH,AR,Public 4 Year,"$12,960,536 ","3,223"
,111100,ALLAN HANCOCK COLLEGE,SANTA MARIA,CA,Public 2 Year,"$9,459,988 ","2,874"
,111300,ANTELOPE VALLEY COLLEGE,LANCASTER,CA,Public 4 Year,"$24,298,866 ","7,647"
,111600,ART CENTER COLLEGE OF DESIGN,PASADENA,CA,Private 4 Year,"$3,611,888 ",820
,111700,AZUSA PACIFIC UNIVERSITY,AZUSA,CA,Private 4 Year,"$13,201,512 ","3,348"
,111800,BAKERSFIELD COLLEGE,BAKERSFIELD,CA,Public 4 Year,"$28,332,903 ","9,212"
,111900,BARSTOW COMMUNITY COLLEGE,BARSTOW,CA,Public 2 Year,"$7,192,956 ","2,131"
,112200,BIOLA UNIVERSITY,LA MIRADA,CA,Private 4 Year,"$5,424,491 ","1,308"
,112300,BROOKS INSTITUTE,SANTA BARBARA,CA,Proprietary 4 Year,"$133,973 ",39
,112400,CABRILLO COLLEGE,APTOS,CA,Public 2 Year,"$10,242,832 ","3,004"
,112500,CALIFORNIA BAPTIST UNIVERSITY,RIVERSIDE,CA,Private 4 Year,"$14,132,416 ","3,526"
,112700,CALIFORNIA COLLEGE OF THE ARTS,SAN FRANCISCO,CA,Private 4 Year,"$2,041,863 ",469
,113100,CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,Private 4 Year,"$496,470 ",121
,113200,CALIFORNIA INSTITUTE OF THE ARTS,VALENCIA,CA,Private 4 Year,"$1,274,628 ",271
,113300,CALIFORNIA LUTHERAN UNIVERSITY,THOUSAND OAKS,CA,Private 4 Year,"$3,849,803 ",940
,113400,CALIFORNIA MARITIME ACADEMY,VALLEJO,CA,Public 4 Year,"$1,533,353 ",333
,113700,CALIF STATE UNIV-FULLERTON,FULLERTON,CA,Public 4 Year,"$74,469,465 ","17,601"
,113800,"CALIFORNIA STATE UNIVERSITY, EAST BAY",HAYWARD,CA,Public 4 Year,"$28,686,589 ","6,949"
,113900,CALIF STATE UNIV-LONG BEACH,LONG BEACH,CA,Public 4 Year,"$76,205,452 ","17,619"
,114000,CALIF STATE UNIV-LOS ANGELES,LOS ANGELES,CA,Public 4 Year,"$76,614,345 ","16,778"
,114100,"CALIF STATE UNIV, DOMINGUEZ HILLS",CARSON,CA,Public 4 Year,"$34,790,409 ","8,223"
,114200,CALIF STATE UNIV SAN BERNARDINO,SAN BERNARDINO,CA,Public 4 Year,"$54,203,802 ","12,201"
,114300,CAL POLY STATE UNIVERSITY,SAN LUIS OBISPO,CA,Public 4 Year,"$16,122,267 ","3,828"
,114400,CALIF STATE POLYTECHNIC UNIV POMONA,POMONA,CA,Public 4 Year,"$50,891,488 ","11,606"
,114600,CALIF STATE UNIV - CHICO,CHICO,CA,Public 4 Year,"$35,487,398 ","7,966"
,114700,CALIF STATE UNIV - FRESNO,FRESNO,CA,Public 4 Year,"$60,452,567 ","13,433"
,114900,HUMBOLDT STATE UNIVERSITY,ARCATA,CA,Public 4 Year,"$21,635,093 ","4,768"
,115000,CALIF STATE UNIV-SACRAMENTO,SACRAMENTO,CA,Public 4 Year,"$66,870,820 ","15,865"
,115100,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,Public 4 Year,"$48,003,791 ","10,763"
,115300,CALIF STATE UNIV-NORTHRIDGE,NORTHRIDGE,CA,Public 4 Year,"$89,028,500 ","20,168"
,115400,SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO,CA,Public 4 Year,"$51,215,252 ","11,895"
,115500,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,Public 4 Year,"$48,085,774 ","11,234"
,115600,SONOMA STATE UNIVERSITY,ROHNERT PARK,CA,Public 4 Year,"$13,005,626 ","3,078"
,115700,CALIF STATE UNIV-STANISLAUS,TURLOCK,CA,Public 4 Year,"$24,058,192 ","5,802"
,116100,CERRITOS COLLEGE,NORWALK,CA,Public 2 Year,"$32,623,580 ","10,109"
,116200,CHABOT COLLEGE,HAYWARD,CA,Public 2 Year,"$10,487,706 ","3,180"
,116300,CHAFFEY COLLEGE,RANCHO CUCAMONGA,CA,Public 2 Year,"$24,613,800 ","8,339"
,116400,CHAPMAN UNIVERSITY,ORANGE,CA,Private 4 Year,"$5,023,055 ","1,179"
,116600,CITRUS COLLEGE,GLENDORA,CA,Public 2 Year,"$15,837,687 ","4,659"
,117000,CLAREMONT MCKENNA COLLEGE,CLAREMONT,CA,Private 4 Year,"$744,713 ",167
,117100,HARVEY MUDD COLLEGE,CLAREMONT,CA,Private 4 Year,"$443,533 ",106
,117200,PITZER COLLEGE,CLAREMONT,CA,Private 4 Year,"$754,409 ",171
,117300,POMONA COLLEGE,CLAREMONT,CA,Private 4 Year,"$1,511,853 ",322
,117400,SCRIPPS COLLEGE,CLAREMONT,CA,Private 4 Year,"$474,273 ",110
,117600,WEST HILLS COMMUNITY COLLEGE,COALINGA,CA,Public 2 Year,"$4,153,691 ","1,108"
,117700,COGSWELL POLYTECHNICAL COLLEGE,SUNNYVALE,CA,Proprietary 4 Year,"$1,385,678 ",327
,117800,COLLEGE OF MARIN,KENTFIELD,CA,Public 2 Year,"$2,700,610 ",852
,117900,NOTRE DAME DE NAMUR UNIVERSITY,BELMONT,CA,Private 4 Year,"$1,907,923 ",487
,118100,COLLEGE OF SAN MATEO,SAN MATEO,CA,Public 2 Year,"$4,335,363 ","1,202"
,118200,COLLEGE OF THE DESERT,PALM DESERT,CA,Public 2 Year,"$15,688,812 ","4,716"
,118300,HOLY NAMES UNIVERSITY,OAKLAND,CA,Private 4 Year,"$1,143,513 ",280
,118500,COLLEGE OF THE REDWOODS,EUREKA,CA,Public 2 Year,"$7,085,086 ","2,086"
,118600,COLLEGE OF THE SEQUOIAS,VISALIA,CA,Public 2 Year,"$18,987,816 ","5,596"
,118700,COLLEGE OF THE SISKIYOUS,WEED,CA,Public 2 Year,"$2,919,283 ",804
,119000,CONTRA COSTA COLLEGE,SAN PABLO,CA,Public 2 Year,"$6,895,950 ","2,010"
,119100,DIABLO VALLEY COLLEGE,PLEASANT HILL,CA,Public 2 Year,"$12,933,646 ","3,691"
,119200,CUESTA COLLEGE,SAN LUIS OBISPO,CA,Public 2 Year,"$7,607,701 ","2,333"
,119300,CYPRESS COLLEGE,CYPRESS,CA,Public 4 Year,"$17,972,330 ","5,061"
,119600,DOMINICAN UNIVERSITY OF CALIFORNIA,SAN RAFAEL,CA,Private 4 Year,"$1,730,576 ",438
,119700,EL CAMINO COLLEGE,TORRANCE,CA,Public 2 Year,"$28,938,357 ","8,234"
,119701,COMPTON COMMUNITY COLLEGE,COMPTON,CA,Public 2 Year,"$9,464,644 ","2,742"
,119900,FOOTHILL COLLEGE,LOS ALTOS HILLS,CA,Public 4 Year,"$4,530,750 ","1,359"
,120100,FULLERTON COLLEGE,FULLERTON,CA,Public 2 Year,"$23,875,424 ","6,436"
,120200,GAVILAN COLLEGE,GILROY,CA,Public 2 Year,"$5,620,727 ","1,674"
,120300,GLENDALE COMMUNITY COLLEGE,GLENDALE,CA,Public 2 Year,"$23,088,581 ","6,206"
,120500,GOLDEN GATE UNIVERSITY,SAN FRANCISCO,CA,Private 4 Year,"$403,097 ",125
,120600,GOLDEN WEST COLLEGE,HUNTINGTON BEACH,CA,Public 2 Year,"$11,125,269 ","3,196"
,120800,GROSSMONT COLLEGE,EL CAJON,CA,Public 2 Year,"$19,795,693 ","5,359"
,120900,HARTNELL COMMUNITY COLLEGE,SALINAS,CA,Public 2 Year,"$10,623,175 ","2,868"
,121200,HUMPHREYS UNIVERSITY,STOCKTON,CA,Private 4 Year,"$1,340,751 ",360
,121400,IMPERIAL VALLEY COLLEGE,IMPERIAL,CA,Public 2 Year,"$19,132,333 ","4,926"
,121500,LA SIERRA UNIVERSITY,RIVERSIDE,CA,Private 4 Year,"$4,244,529 ",972
,121600,UNIVERSITY OF LA VERNE,LA VERNE,CA,Private 4 Year,"$10,290,068 ","2,749"
,121700,LASSEN COLLEGE,SUSANVILLE,CA,Public 2 Year,"$1,421,635 ",354
,121800,LOMA LINDA UNIVERSITY,LOMA LINDA,CA,Private 4 Year,"$1,940,845 ",472
,121900,LONG BEACH CITY COLLEGE,LONG BEACH,CA,Public 2 Year,"$34,634,769 ","9,389"
,122000,MASTER'S COLLEGE & SEMINARY (THE),SANTA CLARITA,CA,Private 4 Year,"$1,488,723 ",401
,122300,LOS ANGELES CITY COLLEGE,LOS ANGELES,CA,Public 2 Year,"$20,478,210 ","5,596"
,122400,LOS ANGELES HARBOR COLLEGE,WILMINGTON,CA,Public 2 Year,"$9,355,409 ","2,741"
